emotion	stimuli	response
anger	directed(e,otherPerson)	yes
anger	e.duration==long	yes
anger	cause(emptySet,e)	sometimes
anger	e.valence==positive	no
anger	similarity(e,red)>similarity(e,blue)	yes
anger	situation(e,waitingInLine)	sometimes
anger	e.valence==neutral	no
anger	situation(e,someoneCloseDied)	no
anger	similar(e,surprise)	no
anger	unexpected(e)	sometimes
anger	e==anger	yes
anger	directed(e,otherPerson)	yes
anger	e.duration==long	yes
anger	e.activation==high	yes
anger	e.valence==negative	yes
anger	directed(e,self)	sometimes
anger	cause(emptySet,e)	not usually
anger	similar(e,happiness)	no
anger	similar(e,anger)	yes
anger	e.valence==positive	no
anger	situation(e,friendDied)	no
anger	forSome(p)(p.incapableOfFeeling(e))	yes
anger	e==anger	yes
anger	e.activation==high	yes
anger	e.valence==positive	no
anger	e.duration==long	yes
anger	e.valence==negative	yes
anger	similar(e,surprise)	no
anger	similar(e,love)		no
anger	cause(something,e)	yes
anger	associated(e,happiness)	no
anger	personalityTrait(e)	yes
anger	cause(e,feelGood)	no
anger	e==anxiety	no
anger	e==anger	yes
anger	e==anger	yes
anger	e.valence==positive	no
anger	e.duration==long	yes
anger	e.valence==negative	yes
anger	directed(e,self)	no
anger	situation(e,waitingInLine)	yes
anger	cause(e,feelGood)	no
anger	similar(e,surprise)	no
anger	similar(e,happiness)	no
anger	behavior(e,verbal)	both
anger	associated(e,happiness)	no
anger	e==boredom	no
anger	similar(e,anger)	yes
anger	e==anger	yes
anger	e.duration==long	yes
anger	e.valence==positive	no
anger	directed(e,self)	no
anger	cause(e,feelGood)	no
anger	directed(e,otherPerson)	yes
anger	similar(e,happiness)	no
anger	similar(e,love)	no
anger	similar(e,anger)	yes
anger	situation(e,birthday)	no
anger	situation(e,helpless)	sometimes
anger	e==anger	yes
dumbfounded	directed(e,otherPerson)	sometimes
dumbfounded	e.activation==high	yes
dumbfounded	directed(e,self)	huh?
dumbfounded	e.valence==negative	sometimes
dumbfounded	cause(e,feelGood)	sometimes
dumbfounded	similar(e,surprise)	yes
dumbfounded	situation(e,waitingInLine)	no
dumbfounded	necessary(directed(e,otherPerson))	no
dumbfounded	situation(e,doSomethingStupid)	maybe
dumbfounded	e.valence==positive	can be
dumbfounded	e==proud	no
dumbfounded	e==relief	no
dumbfounded	e==bravery	no
dumbfounded	e==happiness	no
dumbfounded	e==awe	no
dumbfounded	e==anxiety	no
dumbfounded	e==glee	no
dumbfounded	e==thrill	no
dumbfounded	e==surprise	no
dumbfounded	e==amusement	no
dumbfounded	e==anger	no
regret	e.duration==long	No
regret	directed(e,otherPerson)	No
regret	e.frequency==regularly	Yes
regret	e.valence==positive	No
regret	associated(e,happiness)	Yes
regret	necessary(directed(e,otherPerson))	No
regret	situation(e,helpless)	No
regret	situation(e,waitingInLine)	Yes
regret	situation(e,friendDied)	Yes
regret	cause(e,benefit(otherPerson))	No
regret	e==regret	yes
Surprise	e.duration==long	No
Surprise	e.activation==high	Yes
Surprise	e.valence==positive	No
Surprise	situation(e,birthday)	Yes
Surprise	similar(e,surprise)	Yes
Surprise	associated(e,happiness)	No
Surprise	cause(something,e)	Yes
Surprise	situation(e,doSomethingStupid)	No
Surprise	e.frequency==regularly	No
Surprise	directed(e,otherPerson)	No
Surprise	e==regret	no
Surprise	e==relief	no
Surprise	e==bravery	no
Surprise	e==enthusiasm	no
Surprise	e==serenity	no
Surprise	e==calm	no
Surprise	e==gratefulness	no
Surprise	e==frustration	no
Surprise	e==happiness	no
Surprise	e==awe	no
Surprise	e==envy	no
let down	e.duration==long	yes
let down	directed(e,otherPerson)	yes
let down	e.frequency==regularly	no
let down	e.activation==high	it can be, but usually not too strong
let down	similar(e,happiness)	no
let down	similar(e,love)	yes, possibly... but not necessarily
let down	cause(e,feelGood)	no
let down	similarity(e,red)>similarity(e,blue)	no
let down	similar(e,stressedOut)	no
let down	e.valence==neutral	no
let down	e==anger	no
let down	e==regret	no
let down	e==calm	no
let down	e==awe	no
let down	e==love	no
let down	e==boredom	no
let down	e==hope	no
let down	e==contempt	no
let down	e==devastated	no
let down	e==relief	no
let down	e==bravery	no
sarcasm	e.activation==high	it can be
sarcasm	e.valence==positive	not quite.  It can be humorous, but often times it's negative.
sarcasm	directed(e,otherPerson)	often, yes
sarcasm	e.frequency==regularly	no
sarcasm	cause(emptySet,e)	yes
sarcasm	cause(something,e)	yes
sarcasm	e.duration==long	it can be
sarcasm	similar(e,anger)	often, yes, but not as strong.  Kind of like anger with some humor.
sarcasm	situation(e,someoneCloseDied)	no
sarcasm	similar(e,love)	no
sarcasm	e==jealosy	no
sarcasm	e==surprise	no
sarcasm	e==devastated	no
sarcasm	e==regret	no
sarcasm	e==bravery	no
sarcasm	e==enthusiasm	no
sarcasm	e==calm	no
sarcasm	e==gratefulness	no
sarcasm	e==frustration	no
sarcasm	e==happiness	no
sarcasm	e==awe	no
confusion	directed(e,otherPerson)	yes
confusion	e.duration==long	it's possible, but usually it's shorter
confusion	directed(e,self)	huh?
confusion	e.valence==positive	no
confusion	e.valence==neutral	no, i'd say it's negative, but it's not super negative
confusion	associated(e,happiness)	no
confusion	similarity(e,red)>similarity(e,blue)	yes
confusion	similar(e,happiness)	no
confusion	situation(e,waitingInLine)	sometimes... if it's a big event and people are telling you to stand in this or that line
confusion	personalityTrait(e)	yes, it's possible
confusion	unexpected(e)	yes
confusion	e==anger	no
confusion	e==exasperated	no
confusion	e==boredom	no
confusion	e==jealosy	no
confusion	e==happiness	no
confusion	e==awe	no
confusion	e==anxiety	no
confusion	e==love	no
confusion	e==depression	no
confusion	e==contempt	no
confusion	e==devastated	no
euphoria	directed(e,otherPerson)	no
euphoria	e.valence==positive	yes
euphoria	e.frequency==regularly	no
euphoria	e.activation==high	yes
euphoria	e.valence==negative	no
Anger	e.duration==long	No, usually not.
Euphoria	similar(e,love)	maybe
Anger	e.valence==positive	No.
Euphoria	associated(e,happiness)	yes
Anger	cause(emptySet,e)	Yes.
Euphoria	e.duration==long	no
Euphoria	situation(e,friendDied)	no
Anger	similar(e,surprise)	No.
Euphoria	cause(something,e)	generally
Euphoria	e==bravery	no
Anger	directed(e,self)	Sometimes.
Euphoria	e==thrill	no
Euphoria	e==hope	no
Euphoria	e==surprise	no
Euphoria	e==amusement	no
Anger	unexpected(e)	Usually
Euphoria	e==enthusiasm	no
Euphoria	e==serenity	no
Euphoria	e==excitement	no
Anger	similar(e,love)	No.
Euphoria	e==adore	no
Euphoria	e==proud	no
Anger	cause(e,feelGood)	No.
Euphoria	e==relief	no
Anger	directed(e,otherPerson)	Usually.
Anger	necessary(directed(e,otherPerson))	No.
Anger	e==regret	no
Anger	e==relief	no
Anger	e==bravery	no
